paintId,Name,Brand,hexColorCode,matchValue
327,RhinoxHide," Citadel"," #4e3433"," 5.93"
328,PallidWychFlesh," Citadel"," #d6d5c4"," 6.90"
329,AdministratumGrey," Citadel"," #9da299"," 5.94"
330,DeathGuardArmor," Citadel"," #848A66"," 5.53"
331,CelestraGrey," Citadel"," #9caeae"," 6.73"
332,AdministratumGrey," Citadel"," #9da299"," 4.39"
333,Dawnstone," Citadel"," #7b7e74"," 3.80"
334,TheFang," Citadel"," #457479"," 7.67"
335,CeramiteWhite," Citadel"," #ffffff"," 5.76"
336,IncubiDarkness," Citadel"," #094345"," 4.94"
337,IncubiDarkness," Citadel"," #094345"," 9.75"
338,Tan," Vallejo-Game"," #9f4746"," 10.81"
339,DwarfSkin," Vallejo-Game"," #cc7c67"," 3.63"
340,BronzeFleshtone," Vallejo-Game"," #db945c"," 5.19"
341,HeavyOrange," Vallejo-Game"," #ee5527"," 0.34"
342,FluoYellow," Vallejo-Game"," #eeea50"," 8.87"
343,HeavyBlue," Vallejo-Game"," #29556d"," 8.78"
344,JadeGreen," Vallejo-Game"," #128379"," 8.17"
345,SombreGrey," Vallejo-Game"," #4c5c7d"," 6.32"
346,HeavyViolet," Vallejo-Game"," #4c2e65"," 1.97"
347,SombreGrey," Vallejo-Game"," #4c5c7d"," 12.99"
348,WarlordPurple," Vallejo-Game"," #7d1a44"," 5.47"
349,DarkFleshtone," Vallejo-Game"," #4f2b26"," 6.48"
350,CadmiumSkin," Vallejo-Game"," #fab78a"," 1.90"
351,CharredBrown," Vallejo-Game"," #39343b"," 9.15"
352,HotOrange," Vallejo-Game"," #e43027"," 2.42"
353,Tan," Vallejo-Game"," #9f4746"," 3.63"
354,HeavyKhaki," Vallejo-Game"," #9d965d"," 9.89"
355,Offwhite," Vallejo-Game"," #f5f4da"," 5.84"
356,HeavyWarmGrey," Vallejo-Game"," #939066"," 5.88"
357,DarkFleshtone," Vallejo-Game"," #4f2b26"," 5.62"
358,HeavyGreen," Vallejo-Game"," #566840"," 1.57"
359,DarkFleshtone," Vallejo-Game"," #4f2b26"," 5.26"
360,DesertYellow," Vallejo-Game"," #8e7845"," 5.33"
361,HeavyBrown," Vallejo-Game"," #705d41"," 10.06"
362,ScarletRed," Vallejo-Game"," #741330"," 7.02"
363,ScorpionGreen," Vallejo-Game"," #48b851"," 6.54"
364,HotOrange," Vallejo-Game"," #e43027"," 5.16"
365,HeavyBrown," Vallejo-Game"," #705d41"," 9.36"
366,GoblinGreen," Vallejo-Game"," #23743c"," 10.42"
367,RosyFlesh," Vallejo-Game"," #f89e84"," 1.23"
368,ColdGrey," Vallejo-Game"," #54646d"," 6.06"
369,ElficFlesh," Vallejo-Game"," #cdc29c"," 1.13"
370,FoulGreen," Vallejo-Game"," #239378"," 3.76"
371,SombreGrey," Vallejo-Game"," #4c5c7d"," 8.56"
372,SteelGrey," Vallejo-Game"," #64889d"," 10.38"
373,ElectricBlue," Vallejo-Game"," #008cbf"," 3.03"
374,HeavySkintone," Vallejo-Game"," #aa7b62"," 1.37"
375,ElectricBlue," Vallejo-Game"," #008cbf"," 9.38"
376,CadmiumSkin," Vallejo-Game"," #fab78a"," 4.91"
377,HeavySienna," Vallejo-Game"," #744642"," 3.32"
378,PaleYellow," Vallejo-Game"," #d5c179"," 4.60"
379,MutationGreen," Vallejo-Game"," #296934"," 1.78"
380,OrangeFire," Vallejo-Game"," #f1652e"," 0.84"
381,HeavyOchre," Vallejo-Game"," #a87536"," 1.40"
382,HeavyWarmGrey," Vallejo-Game"," #939066"," 9.41"
383,FluoYellow," Vallejo-Game"," #eeea50"," 7.35"
384,DarkFleshtone," Vallejo-Game"," #4f2b26"," 8.15"
385,HeavyGoldBrown," Vallejo-Game"," #ba8636"," 4.85"
386,Black," Vallejo-Game"," #000000"," 0.27"
387,HeavyCharcoal," Vallejo-Game"," #1c2e2e"," 6.00"
388,ColdGrey," Vallejo-Game"," #54646d"," 5.32"
389,ColdGrey," Vallejo-Game"," #54646d"," 10.10"
390,HeavyBlackGreen," Vallejo-Game"," #18433d"," 5.10"
391,HeavyGrey," Vallejo-Game"," #626d54"," 8.63"
392,StonewallGrey," Vallejo-Game"," #828e95"," 4.07"
393,BeastyBrown," Vallejo-Game"," #55432d"," 7.15"
394,BeastyBrown," Vallejo-Game"," #55432d"," 8.47"
395,HeavyBrown," Vallejo-Game"," #705d41"," 0.70"
396,HeavySkintone," Vallejo-Game"," #aa7b62"," 3.78"
397,Earth," Vallejo-Game"," #6f563d"," 5.60"
398,HeavySkintone," Vallejo-Game"," #aa7b62"," 2.17"
399,HeavyGoldBrown," Vallejo-Game"," #ba8636"," 0.00"
400,DesertYellow," Vallejo-Game"," #8e7845"," 3.87"
401,Khaki," Vallejo-Game"," #8c806d"," 4.69"
402,HeavyWarmGrey," Vallejo-Game"," #939066"," 5.66"
403,HeavyKhaki," Vallejo-Game"," #9d965d"," 0.75"
404,Verdigris," Vallejo-Game"," #b3ceca"," 9.97"
405,HeavyWarmGrey," Vallejo-Game"," #939066"," 7.24"
406,DeadFlesh," Vallejo-Game"," #bcb686"," 10.09"
407,Khaki," Vallejo-Game"," #8c806d"," 4.81"
408,HeavyGrey," Vallejo-Game"," #626d54"," 7.79"
409,CaymanGreen," Vallejo-Game"," #285648"," 4.24"
410,HeavyBlackGreen," Vallejo-Game"," #18433d"," 9.34"
411,HeavyGreen," Vallejo-Game"," #566840"," 5.13"
412,GoblinGreen," Vallejo-Game"," #23743c"," 12.49"
413,YellowOlive," Vallejo-Game"," #063b2f"," 6.81"
414,HeavyGrey," Vallejo-Game"," #626d54"," 2.90"
415,CaymanGreen," Vallejo-Game"," #285648"," 4.84"
416,CaymanGreen," Vallejo-Game"," #285648"," 7.95"
417,CaymanGreen," Vallejo-Game"," #285648"," 5.05"
418,CaymanGreen," Vallejo-Game"," #285648"," 5.07"
419,ScurvyGreen," Vallejo-Game"," #09474e"," 7.15"
420,RoyalPurple," Vallejo-Game"," #23264f"," 9.72"
421,ColdGrey," Vallejo-Game"," #54646d"," 8.22"
422,SteelGrey," Vallejo-Game"," #64889d"," 1.77"
423,SteelGrey," Vallejo-Game"," #64889d"," 12.15"
424,SteelGrey," Vallejo-Game"," #64889d"," 8.69"
425,ColdGrey," Vallejo-Game"," #54646d"," 7.37"
426,HeavyBlueGrey," Vallejo-Game"," #9ca7a7"," 1.22"
427,HeavyBlueGrey," Vallejo-Game"," #9ca7a7"," 7.96"
