Black, Vallejo-Game, #000000, 0.27
HeavyCharcoal, Vallejo-Game, #1c2e2e, 6.00
ColdGrey, Vallejo-Game, #54646d, 5.32
ColdGrey, Vallejo-Game, #54646d, 10.10
HeavyBlackGreen, Vallejo-Game, #18433d, 5.10
HeavyGrey, Vallejo-Game, #626d54, 8.63
StonewallGrey, Vallejo-Game, #828e95, 4.07
BeastyBrown, Vallejo-Game, #55432d, 7.15
BeastyBrown, Vallejo-Game, #55432d, 8.47
HeavyBrown, Vallejo-Game, #705d41, 0.70
HeavySkintone, Vallejo-Game, #aa7b62, 3.78
Earth, Vallejo-Game, #6f563d, 5.60
HeavySkintone, Vallejo-Game, #aa7b62, 2.17
HeavyGoldBrown, Vallejo-Game, #ba8636, 0.00
DesertYellow, Vallejo-Game, #8e7845, 3.87
Khaki, Vallejo-Game, #8c806d, 4.69
HeavyWarmGrey, Vallejo-Game, #939066, 5.66
HeavyKhaki, Vallejo-Game, #9d965d, 0.75
Verdigris, Vallejo-Game, #b3ceca, 9.97
HeavyWarmGrey, Vallejo-Game, #939066, 7.24
DeadFlesh, Vallejo-Game, #bcb686, 10.09
Khaki, Vallejo-Game, #8c806d, 4.81
HeavyGrey, Vallejo-Game, #626d54, 7.79
CaymanGreen, Vallejo-Game, #285648, 4.24
HeavyBlackGreen, Vallejo-Game, #18433d, 9.34
HeavyGreen, Vallejo-Game, #566840, 5.13
GoblinGreen, Vallejo-Game, #23743c, 12.49
YellowOlive, Vallejo-Game, #063b2f, 6.81
HeavyGrey, Vallejo-Game, #626d54, 2.90
CaymanGreen, Vallejo-Game, #285648, 4.84
CaymanGreen, Vallejo-Game, #285648, 7.95
CaymanGreen, Vallejo-Game, #285648, 5.05
CaymanGreen, Vallejo-Game, #285648, 5.07
ScurvyGreen, Vallejo-Game, #09474e, 7.15
RoyalPurple, Vallejo-Game, #23264f, 9.72
ColdGrey, Vallejo-Game, #54646d, 8.22
SteelGrey, Vallejo-Game, #64889d, 1.77
SteelGrey, Vallejo-Game, #64889d, 12.15
SteelGrey, Vallejo-Game, #64889d, 8.69
ColdGrey, Vallejo-Game, #54646d, 7.37
HeavyBlueGrey, Vallejo-Game, #9ca7a7, 1.22
HeavyBlueGrey, Vallejo-Game, #9ca7a7, 7.96
Verdigris, Vallejo-Game, #b3ceca, 4.10
ScarletBloodRed, Vallejo-Game, #b72a38, 1.86
BloodyRed, Vallejo-Game, #bf282e, 4.51
HeavyOrange, Vallejo-Game, #ee5527, 3.46
FilthyBrown, Vallejo-Game, #f58d2b, 2.12
HeavyGoldBrown, Vallejo-Game, #ba8636, 7.52
PlagueBrown, Vallejo-Game, #cc9b34, 4.93
HeavySkintone, Vallejo-Game, #aa7b62, 6.48
MoonYellow, Vallejo-Game, #fff103, 4.60
PaleYellow, Vallejo-Game, #d5c179, 1.16
PaleYellow, Vallejo-Game, #d5c179, 4.31
Offwhite, Vallejo-Game, #f5f4da, 1.67
CaymanGreen, Vallejo-Game, #285648, 4.79
HeavyBrown, Vallejo-Game, #705d41, 3.42
HeavyGreen, Vallejo-Game, #566840, 7.89
DesertYellow, Vallejo-Game, #8e7845, 5.34
HeavyGrey, Vallejo-Game, #626d54, 0.71
MagicBlue, Vallejo-Game, #024381, 6.64
HeavyRed, Vallejo-Game, #943238, 1.17
BronzeFleshtone, Vallejo-Game, #db945c, 5.67
Offwhite, Vallejo-Game, #f5f4da, 4.93
HeavySkintone, Vallejo-Game, #aa7b62, 5.69
HeavyBlue, Vallejo-Game, #29556d, 6.35
HeavySienna, Vallejo-Game, #744642, 7.82
Earth, Vallejo-Game, #6f563d, 7.47
ScorpionGreen, Vallejo-Game, #48b851, 7.51
ColdGrey, Vallejo-Game, #54646d, 8.10
DwarfSkin, Vallejo-Game, #cc7c67, 7.88
HeavyRed, Vallejo-Game, #943238, 9.99
Tan, Vallejo-Game, #9f4746, 1.43
BoneWhite, Vallejo-Game, #e8be86, 5.79
BoneWhite, Vallejo-Game, #e8be86, 7.56
FluoYellow, Vallejo-Game, #eeea50, 2.57
HeavyCharcoal, Vallejo-Game, #1c2e2e, 6.21
DeadWhite, Vallejo-Game, #ffffff, 0.00
MoonYellow, Vallejo-Game, #fff103, 0.27
SunYellow, Vallejo-Game, #ffcf07, 1.35
FluoYellow, Vallejo-Game, #eeea50, 5.05
BoneWhite, Vallejo-Game, #e8be86, 7.38
HeavyOrange, Vallejo-Game, #ee5527, 1.03
ScarletBloodRed, Vallejo-Game, #b72a38, 2.59
SquidPink, Vallejo-Game, #da7fb5, 7.78
WarlordPurple, Vallejo-Game, #7d1a44, 14.76
HeavyViolet, Vallejo-Game, #4c2e65, 0.48
GlacierBlue, Vallejo-Game, #acd0ee, 6.66
SombreGrey, Vallejo-Game, #4c5c7d, 7.04
HeavyBlue, Vallejo-Game, #29556d, 6.84
ColdGrey, Vallejo-Game, #54646d, 4.66
HeavyBlue, Vallejo-Game, #29556d, 1.17
SteelGrey, Vallejo-Game, #64889d, 10.74
CamoflageGreen, Vallejo-Game, #71753a, 9.44
MutationGreen, Vallejo-Game, #296934, 1.57
FoulGreen, Vallejo-Game, #239378, 6.74
SickGreen, Vallejo-Game, #096638, 4.34
Verdigris, Vallejo-Game, #b3ceca, 5.22
StonewallGrey, Vallejo-Game, #828e95, 9.57
HeavyBlueGrey, Vallejo-Game, #9ca7a7, 5.59
FoulGreen, Vallejo-Game, #239378, 11.29
CaymanGreen, Vallejo-Game, #285648, 5.05
ElficFlesh, Vallejo-Game, #cdc29c, 3.00
HeavyGoldBrown, Vallejo-Game, #ba8636, 6.30
HeavyKhaki, Vallejo-Game, #9d965d, 2.57
HeavyBlackGreen, Vallejo-Game, #18433d, 5.31
HeavyBlackGreen, Vallejo-Game, #18433d, 1.16
HeavySkintone, Vallejo-Game, #aa7b62, 6.28
HeavySienna, Vallejo-Game, #744642, 4.68
LeatherBrown, Vallejo-Game, #7b5d2a, 4.93
HeavySienna, Vallejo-Game, #744642, 1.49
DarkFleshtone, Vallejo-Game, #4f2b26, 2.05
Verdigris, Vallejo-Game, #b3ceca, 9.09
HeavyWarmGrey, Vallejo-Game, #939066, 9.65
HeavyWarmGrey, Vallejo-Game, #939066, 1.28
HeavyBlueGrey, Vallejo-Game, #9ca7a7, 6.99
HeavyBlueGrey, Vallejo-Game, #9ca7a7, 4.21
StonewallGrey, Vallejo-Game, #828e95, 8.64
ColdGrey, Vallejo-Game, #54646d, 7.55
DeadWhite, Vallejo-Game, #ffffff, 5.76
HeavyBlackGreen, Vallejo-Game, #18433d, 4.62
HeavyCharcoal, Vallejo-Game, #1c2e2e, 1.12
MurderousMagenta, P3Formula, #a81f5e, 7.92
KhardicFlesh, P3Formula, #cb7b5b, 5.82
BeastHide, P3Formula, #b1956b, 6.65
KhadorRedBase, P3Formula, #ee2824, 7.74
MenothWhiteBase, P3Formula, #efefbb, 7.67
GreatcoatGrey, P3Formula, #4d5861, 9.71
TrollbloodBase, P3Formula, #13899b, 7.76
CygnarBaseBlue, P3Formula, #124b9b, 7.36
BeatenPurple, P3Formula, #552a72, 3.16
CygnarBaseBlue, P3Formula, #124b9b, 16.77
MurderousMagenta, P3Formula, #a81f5e, 14.93
SanguineBase, P3Formula, #6c160f, 14.17
MidlundFlesh, P3Formula, #f0a983, 6.84
GreatcoatGrey, P3Formula, #4d5861, 7.22
KhadorRedBase, P3Formula, #ee2824, 4.05
Bloodstone, P3Formula, #9e4822, 9.70
BeastHide, P3Formula, #b1956b, 2.28
